Date,Daily Max 8-hour CO Concentration
04/03/2017,0.3
04/04/2017,0.4
04/05/2017,0.3
04/06/2017,0.2
04/07/2017,0.3
04/08/2017,0.2
04/09/2017,0.2
04/10/2017,0.2
04/11/2017,0.2
04/12/2017,0.2
04/13/2017,0.2
04/14/2017,0.2
04/15/2017,0.2
04/16/2017,0.2
04/17/2017,0.3
04/18/2017,0.2
04/19/2017,0.3
04/20/2017,0.2
04/21/2017,0.2
04/22/2017,0.2
04/23/2017,0.2
04/24/2017,0.2
04/25/2017,0.2
04/26/2017,0.2
04/27/2017,0.2
04/28/2017,0.2
04/29/2017,0.2
04/30/2017,0.2
05/01/2017,0.2
05/02/2017,0.2
05/03/2017,0.2
05/06/2017,0.2
05/07/2017,0.2
05/08/2017,0.2
05/09/2017,0.2
05/10/2017,0.2
05/11/2017,0.2
05/12/2017,0.2
05/13/2017,0.2
05/14/2017,0.2
05/15/2017,0.2
05/16/2017,0.2
05/17/2017,0.2
05/18/2017,0.2
05/19/2017,0.3
05/20/2017,0.2
05/21/2017,0.2
05/22/2017,0.3
05/23/2017,0.3
05/24/2017,0.2
05/25/2017,0.3
05/26/2017,0.3
05/27/2017,0.3
05/28/2017,0.3
05/29/2017,0.2
05/30/2017,0.2
05/31/2017,0.1
06/01/2017,0.1
06/02/2017,0.2
06/03/2017,0.2
06/04/2017,0.2
06/05/2017,0.2
06/06/2017,0.2
06/08/2017,0.2
06/09/2017,0.2
06/10/2017,0.2
06/13/2017,0.1
06/14/2017,0.2
06/15/2017,0.2
06/16/2017,0.1
06/17/2017,0.2
06/18/2017,0.2
06/19/2017,0.2
06/20/2017,0.3
06/21/2017,0.1
06/22/2017,0.2
06/23/2017,0.2
06/24/2017,0.2
06/25/2017,0.2
06/26/2017,0.2
06/27/2017,0.2
06/28/2017,0.2
06/29/2017,0.2
06/30/2017,0.2
07/01/2017,0.2
07/02/2017,0.2
07/03/2017,0.2
07/06/2017,0.2
07/07/2017,0.2
07/08/2017,0.2
07/09/2017,0.2
07/10/2017,0.1
07/11/2017,0.2
07/15/2017,0.2
07/16/2017,0.1
07/17/2017,0.2
07/18/2017,0.2
07/19/2017,0.2
07/21/2017,0.2
07/22/2017,0.2
07/23/2017,0.2
07/24/2017,0.2
07/25/2017,0.2
07/26/2017,0.2
07/27/2017,0.2
07/28/2017,0.2
07/29/2017,0.2
07/30/2017,0.2
08/03/2017,0.6
08/04/2017,0.8
08/05/2017,0.3
08/06/2017,0.3
08/07/2017,0.4
08/08/2017,0.5
08/09/2017,0.6
08/10/2017,0.5
08/15/2017,0.2
08/16/2017,0.2
08/17/2017,0.2
08/24/2017,0.1
08/25/2017,0.2
08/26/2017,0.2
08/27/2017,0.2
08/29/2017,0.4
08/30/2017,0.2
08/31/2017,0.2
09/01/2017,0.2
09/02/2017,0.2
09/03/2017,0.2
09/06/2017,0.5
09/07/2017,0.4
09/08/2017,0.4
09/09/2017,0.2
09/10/2017,0.2
09/11/2017,0.2
09/13/2017,0.2
09/14/2017,0.2
09/15/2017,0.3
09/16/2017,0.6
09/17/2017,0.6
09/18/2017,0.2
09/19/2017,0.2
09/20/2017,0.2
09/21/2017,0.2
09/22/2017,0.4
09/23/2017,0.3
09/24/2017,0.3
09/26/2017,0.3
09/27/2017,0.3
09/28/2017,0.5
09/29/2017,0.2
09/30/2017,0.2
10/01/2017,0.2
10/02/2017,0.3
10/04/2017,0.3
10/05/2017,0.4
10/06/2017,0.4
10/07/2017,0.2
10/08/2017,0.3
10/09/2017,0.4
10/10/2017,0.4
10/11/2017,0.2
10/12/2017,0.2
10/13/2017,0.2
10/14/2017,0.3
10/15/2017,0.3
10/16/2017,0.3
10/17/2017,0.2
10/18/2017,0.2
10/19/2017,0.2
10/20/2017,0.2
10/21/2017,0.2
10/22/2017,0.2
10/23/2017,0.4
10/24/2017,0.4
10/25/2017,0.4
10/26/2017,0.3
10/27/2017,0.4
10/28/2017,0.6
10/29/2017,0.8
10/30/2017,0.4
10/31/2017,0.4
11/01/2017,0.3
11/02/2017,0.2
11/03/2017,0.2
11/04/2017,0.3
11/05/2017,0.3
11/06/2017,0.3
11/07/2017,0.3
11/08/2017,0.3
11/09/2017,0.4
11/10/2017,0.4
11/11/2017,0.4
11/12/2017,0.3
11/13/2017,0.3
11/14/2017,0.2
11/15/2017,0.3
11/16/2017,0.3
11/17/2017,0.2
11/18/2017,0.3
11/19/2017,0.4
11/20/2017,0.2
11/22/2017,0.3
11/23/2017,0.2
11/24/2017,0.2
11/25/2017,0.4
11/26/2017,0.3
11/27/2017,0.3
11/28/2017,0.3
11/29/2017,0.3
11/30/2017,0.3
12/01/2017,0.2
12/02/2017,0.3
12/03/2017,0.3
12/04/2017,0.4
12/05/2017,0.4
12/06/2017,0.4
12/07/2017,0.5
12/08/2017,0.8
12/09/2017,1.1
12/10/2017,0.6
12/11/2017,0.7
12/12/2017,0.6
12/13/2017,0.6
12/14/2017,0.7
12/15/2017,0.7
12/16/2017,0.4
12/17/2017,0.4
12/18/2017,0.2
12/19/2017,0.2
12/20/2017,0.3
12/21/2017,0.4
12/22/2017,0.3
12/23/2017,0.3
12/24/2017,0.3
12/25/2017,0.4
12/26/2017,0.4
12/27/2017,0.5
12/28/2017,0.5
12/29/2017,0.3
12/30/2017,0.3
12/31/2017,0.2
